Tabelle: 13311-0001
Persons in employment, employees, self-employed persons and;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
family workers (domestic concept): Germany, years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
economic sections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regional employment accounts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;e;2.0;p;1.0;p;1.0;p;...;
WZ08-C;Manufacturing;Persons in employment (domestic concept);1000;10066.0;e;9317.0;e;8666.0;e;8224.0;e;8036.0;e;7840.0;e;7714.0;e;7769.0;e;7746.0;e;7840.0;e;7853.0;e;7684.0;e;7484.0;e;7368.0;e;7244.0;e;7165.0;e;7274.0;e;7457.0;e;7278.0;e;7142.0;e;7285.0;e;7413.0;e;7438.0;e;7481.0;e;7512.0;e;7534.0;e;7603.0;e;7731.0;e;7773.0;e;7586.0;e;7470.0;e;7486.0;p;7489.0;p;7413.0;p;7251.0;p
;;Employees (domestic concept);1000;9756.0;e;9006.0;e;8350.0;e;7904.0;e;7717.0;e;7523.0;e;7400.0;e;7458.0;e;7443.0;e;7542.0;e;7558.0;e;7391.0;e;7191.0;e;7068.0;e;6942.0;e;6866.0;e;6977.0;e;7159.0;e;6984.0;e;6853.0;e;7003.0;e;7137.0;e;7166.0;e;7216.0;e;7249.0;e;7272.0;e;7345.0;e;7476.0;e;7529.0;e;7341.0;e;7237.0;e;7262.0;p;7277.0;p;7209.0;p;7050.0;p
;;Self-employed persons a. family workers (domestic);1000;310.0;e;311.0;e;316.0;e;320.0;e;319.0;e;317.0;e;314.0;e;311.0;e;303.0;e;298.0;e;295.0;e;293.0;e;293.0;e;300.0;e;302.0;e;299.0;e;297.0;e;298.0;e;294.0;e;289.0;e;282.0;e;276.0;e;272.0;e;265.0;e;263.0;e;262.0;e;258.0;e;255.0;e;244.0;e;245.0;e;233.0;e;224.0;p;212.0;p;204.0;p;201.0;p
WZ08-D;Electricity, gas, steam, air conditioning supply;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;243.0;e;248.0;e;249.0;e;252.0;e;253.0;e;257.0;e;256.0;e;251.0;e;251.0;e;255.0;e;259.0;e;262.0;e;268.0;e;272.0;e;276.0;p;287.0;p;303.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;243.0;e;248.0;e;249.0;e;252.0;e;253.0;e;257.0;e;256.0;e;251.0;e;251.0;e;255.0;e;259.0;e;262.0;e;268.0;e;272.0;e;276.0;p;287.0;p;303.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;e;0.0;p;0.0;p;0.0;p;...;
WZ08-E;Water supply,sewerage,waste management,remediation;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;247.0;e;249.0;e;249.0;e;253.0;e;257.0;e;262.0;e;266.0;e;265.0;e;267.0;e;273.0;e;285.0;e;293.0;e;293.0;e;294.0;e;300.0;p;302.0;p;307.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;239.0;e;240.0;e;240.0;e;244.0;e;248.0;e;253.0;e;257.0;e;256.0;e;258.0;e;264.0;e;276.0;e;284.0;e;284.0;e;286.0;e;293.0;p;296.0;p;302.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;8.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;9.0;e;8.0;e;7.0;p;6.0;p;5.0;p;...;
WZ08-F;Construction;Persons in employment (domestic concept);1000;2888.0;e;3000.0;e;3114.0;e;3255.0;e;3320.0;e;3222.0;e;3110.0;e;3010.0;e;2963.0;e;2888.0;e;2695.0;e;2548.0;e;2429.0;e;2349.0;e;2270.0;e;2266.0;e;2305.0;e;2295.0;e;2310.0;e;2329.0;e;2370.0;e;2403.0;e;2417.0;e;2430.0;e;2428.0;e;2449.0;e;2483.0;e;2526.0;e;2559.0;e;2593.0;e;2615.0;e;2634.0;p;2639.0;p;2605.0;p;2583.0;p
;;Employees (domestic concept);1000;2612.0;e;2706.0;e;2806.0;e;2931.0;e;2973.0;e;2851.0;e;2731.0;e;2624.0;e;2561.0;e;2476.0;e;2280.0;e;2125.0;e;2004.0;e;1922.0;e;1817.0;e;1798.0;e;1826.0;e;1815.0;e;1827.0;e;1842.0;e;1872.0;e;1895.0;e;1904.0;e;1920.0;e;1928.0;e;1959.0;e;1996.0;e;2042.0;e;2081.0;e;2125.0;e;2160.0;e;2191.0;p;2206.0;p;2182.0;p;2169.0;p
;;Self-employed persons a. family workers (domestic);1000;276.0;e;294.0;e;308.0;e;324.0;e;347.0;e;371.0;e;379.0;e;386.0;e;402.0;e;412.0;e;415.0;e;423.0;e;425.0;e;427.0;e;453.0;e;468.0;e;479.0;e;480.0;e;483.0;e;487.0;e;498.0;e;508.0;e;513.0;e;510.0;e;500.0;e;490.0;e;487.0;e;484.0;e;478.0;e;468.0;e;455.0;e;443.0;p;433.0;p;423.0;p;414.0;p
WZ08-G-T;Service activities;Persons in employment (domestic concept);1000;23840.0;e;24169.0;e;24317.0;e;24696.0;e;25057.0;e;25446.0;e;25725.0;e;26252.0;e;26981.0;e;27846.0;e;27974.0;e;28125.0;e;28045.0;e;28364.0;e;28552.0;e;28946.0;e;29471.0;e;29874.0;e;30091.0;e;30414.0;e;30691.0;e;31023.0;e;31299.0;e;31622.0;e;31987.0;e;32506.0;e;33015.0;e;33423.0;e;33759.0;e;33597.0;e;33769.0;e;34314.0;p;34608.0;p;34755.0;p;34921.0;p
;;Employees (domestic concept);1000;21536.0;e;21817.0;e;21890.0;e;22178.0;e;22460.0;e;22772.0;e;22974.0;e;23448.0;e;24150.0;e;24987.0;e;25087.0;e;25197.0;e;25037.0;e;25227.0;e;25312.0;e;25653.0;e;26147.0;e;26535.0;e;26727.0;e;27018.0;e;27280.0;e;27610.0;e;27901.0;e;28235.0;e;28628.0;e;29179.0;e;29733.0;e;30194.0;e;30586.0;e;30509.0;e;30744.0;e;31345.0;p;31688.0;p;31894.0;p;32084.0;p
;;Self-employed persons a. family workers (domestic);1000;2304.0;e;2352.0;e;2427.0;e;2518.0;e;2597.0;e;2674.0;e;2751.0;e;2804.0;e;2831.0;e;2859.0;e;2887.0;e;2928.0;e;3008.0;e;3137.0;e;3240.0;e;3293.0;e;3324.0;e;3339.0;e;3364.0;e;3396.0;e;3411.0;e;3413.0;e;3398.0;e;3387.0;e;3359.0;e;3327.0;e;3282.0;e;3229.0;e;3173.0;e;3088.0;e;3025.0;e;2969.0;p;2920.0;p;2861.0;p;2837.0;p
WZ08-G-J;Trade,transport.,storage,accom.and food serv.,inf.;Persons in employment (domestic concept);1000;9835.0;e;9853.0;e;9830.0;e;9806.0;e;9791.0;e;9810.0;e;9830.0;e;9971.0;e;10145.0;e;10459.0;e;10467.0;e;10426.0;e;10265.0;e;10360.0;e;10339.0;e;10396.0;e;10547.0;e;10645.0;e;10656.0;e;10631.0;e;10769.0;e;10882.0;e;10951.0;e;11018.0;e;11062.0;e;11201.0;e;11333.0;e;11511.0;e;11627.0;e;11441.0;e;11347.0;e;11561.0;p;11658.0;p;11645.0;p;11617.0;p
;;Employees (domestic concept);1000;8700.0;e;8700.0;e;8655.0;e;8597.0;e;8547.0;e;8541.0;e;8544.0;e;8681.0;e;8861.0;e;9175.0;e;9192.0;e;9156.0;e;8992.0;e;9058.0;e;9017.0;e;9077.0;e;9243.0;e;9363.0;e;9394.0;e;9381.0;e;9537.0;e;9671.0;e;9772.0;e;9857.0;e;9926.0;e;10083.0;e;10254.0;e;10457.0;e;10595.0;e;10451.0;e;10402.0;e;10643.0;p;10764.0;p;10781.0;p;10768.0;p
;;Self-employed persons a. family workers (domestic);1000;1135.0;e;1153.0;e;1175.0;e;1209.0;e;1244.0;e;1269.0;e;1286.0;e;1290.0;e;1284.0;e;1284.0;e;1275.0;e;1270.0;e;1273.0;e;1302.0;e;1322.0;e;1319.0;e;1304.0;e;1282.0;e;1262.0;e;1250.0;e;1232.0;e;1211.0;e;1179.0;e;1161.0;e;1136.0;e;1118.0;e;1079.0;e;1054.0;e;1032.0;e;990.0;e;945.0;e;918.0;p;894.0;p;864.0;p;849.0;p
WZ08-G-I;Trade, transport., storage, accom.and food service;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;9376.0;e;9330.0;e;9287.0;e;9143.0;e;9226.0;e;9193.0;e;9230.0;e;9358.0;e;9441.0;e;9469.0;e;9473.0;e;9596.0;e;9691.0;e;9734.0;e;9784.0;e;9840.0;e;9949.0;e;10046.0;e;10181.0;e;10247.0;e;10037.0;e;9904.0;e;10038.0;p;10091.0;p;10074.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;8184.0;e;8154.0;e;8123.0;e;7989.0;e;8056.0;e;8016.0;e;8062.0;e;8203.0;e;8304.0;e;8350.0;e;8366.0;e;8510.0;e;8625.0;e;8702.0;e;8771.0;e;8851.0;e;8977.0;e;9114.0;e;9271.0;e;9355.0;e;9183.0;e;9089.0;e;9247.0;p;9322.0;p;9331.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;1192.0;e;1176.0;e;1164.0;e;1154.0;e;1170.0;e;1177.0;e;1168.0;e;1155.0;e;1137.0;e;1119.0;e;1107.0;e;1086.0;e;1066.0;e;1032.0;e;1013.0;e;989.0;e;972.0;e;932.0;e;910.0;e;892.0;e;854.0;e;815.0;e;791.0;p;769.0;p;743.0;p;...;
WZ08-G;Wholesale, retail trade, repair of motor vehicles;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;5858.0;e;5835.0;e;5815.0;e;5873.0;e;5893.0;e;5875.0;e;5876.0;e;5860.0;e;5901.0;e;5927.0;e;5976.0;e;5985.0;e;5921.0;e;5898.0;e;5908.0;p;5865.0;p;5807.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;5155.0;e;5142.0;e;5131.0;e;5206.0;e;5238.0;e;5245.0;e;5255.0;e;5253.0;e;5301.0;e;5356.0;e;5416.0;e;5437.0;e;5400.0;e;5397.0;e;5428.0;p;5399.0;p;5361.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;703.0;e;693.0;e;684.0;e;667.0;e;655.0;e;630.0;e;621.0;e;607.0;e;600.0;e;571.0;e;560.0;e;548.0;e;521.0;e;501.0;e;480.0;p;466.0;p;446.0;p;...;
WZ08-H;Transportation and storage;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;1999.0;e;1986.0;e;1989.0;e;2031.0;e;2064.0;e;2096.0;e;2126.0;e;2173.0;e;2216.0;e;2268.0;e;2336.0;e;2372.0;e;2374.0;e;2377.0;e;2386.0;p;2401.0;p;2411.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;1856.0;e;1846.0;e;1851.0;e;1895.0;e;1932.0;e;1966.0;e;1998.0;e;2047.0;e;2091.0;e;2145.0;e;2218.0;e;2255.0;e;2262.0;e;2277.0;e;2285.0;p;2304.0;p;2315.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;143.0;e;140.0;e;138.0;e;136.0;e;132.0;e;130.0;e;128.0;e;126.0;e;125.0;e;123.0;e;118.0;e;117.0;e;112.0;e;100.0;e;101.0;p;97.0;p;96.0;p;...;
WZ08-I;Accommodation and food service activities;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;1584.0;e;1648.0;e;1669.0;e;1692.0;e;1734.0;e;1763.0;e;1782.0;e;1807.0;e;1832.0;e;1851.0;e;1869.0;e;1890.0;e;1742.0;e;1629.0;e;1744.0;p;1825.0;p;1856.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;1293.0;e;1362.0;e;1384.0;e;1409.0;e;1455.0;e;1491.0;e;1518.0;e;1551.0;e;1585.0;e;1613.0;e;1637.0;e;1663.0;e;1521.0;e;1415.0;e;1534.0;p;1619.0;p;1655.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;291.0;e;286.0;e;285.0;e;283.0;e;279.0;e;272.0;e;264.0;e;256.0;e;247.0;e;238.0;e;232.0;e;227.0;e;221.0;e;214.0;e;210.0;p;206.0;p;201.0;p;...;
WZ08-J;Information and communication;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;1083.0;e;1137.0;e;1139.0;e;1122.0;e;1134.0;e;1146.0;e;1166.0;e;1189.0;e;1204.0;e;1187.0;e;1158.0;e;1173.0;e;1191.0;e;1217.0;e;1234.0;e;1222.0;e;1252.0;e;1287.0;e;1330.0;e;1380.0;e;1404.0;e;1443.0;e;1523.0;p;1567.0;p;1571.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;991.0;e;1038.0;e;1033.0;e;1003.0;e;1002.0;e;1001.0;e;1015.0;e;1040.0;e;1059.0;e;1044.0;e;1015.0;e;1027.0;e;1046.0;e;1070.0;e;1086.0;e;1075.0;e;1106.0;e;1140.0;e;1186.0;e;1240.0;e;1268.0;e;1313.0;e;1396.0;p;1442.0;p;1450.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;92.0;e;99.0;e;106.0;e;119.0;e;132.0;e;145.0;e;151.0;e;149.0;e;145.0;e;143.0;e;143.0;e;146.0;e;145.0;e;147.0;e;148.0;e;147.0;e;146.0;e;147.0;e;144.0;e;140.0;e;136.0;e;130.0;e;127.0;p;125.0;p;121.0;p;...;
WZ08-K-N;Financial, insurance, business, real estate act.;Persons in employment (domestic concept);1000;3785.0;e;3884.0;e;3983.0;e;4159.0;e;4316.0;e;4461.0;e;4652.0;e;4928.0;e;5252.0;e;5576.0;e;5657.0;e;5703.0;e;5757.0;e;5914.0;e;6061.0;e;6324.0;e;6574.0;e;6729.0;e;6696.0;e;6900.0;e;7061.0;e;7176.0;e;7249.0;e;7351.0;e;7476.0;e;7602.0;e;7742.0;e;7794.0;e;7772.0;e;7618.0;e;7667.0;e;7788.0;p;7852.0;p;7844.0;p;7802.0;p
;;Employees (domestic concept);1000;3203.0;e;3286.0;e;3358.0;e;3509.0;e;3653.0;e;3773.0;e;3927.0;e;4176.0;e;4487.0;e;4806.0;e;4876.0;e;4898.0;e;4910.0;e;5021.0;e;5118.0;e;5345.0;e;5569.0;e;5700.0;e;5647.0;e;5833.0;e;5977.0;e;6083.0;e;6149.0;e;6251.0;e;6389.0;e;6529.0;e;6673.0;e;6745.0;e;6750.0;e;6641.0;e;6692.0;e;6831.0;p;6907.0;p;6912.0;p;6877.0;p
;;Self-employed persons a. family workers (domestic);1000;582.0;e;598.0;e;625.0;e;650.0;e;663.0;e;688.0;e;725.0;e;752.0;e;765.0;e;770.0;e;781.0;e;805.0;e;847.0;e;893.0;e;943.0;e;979.0;e;1005.0;e;1029.0;e;1049.0;e;1067.0;e;1084.0;e;1093.0;e;1100.0;e;1100.0;e;1087.0;e;1073.0;e;1069.0;e;1049.0;e;1022.0;e;977.0;e;975.0;e;957.0;p;945.0;p;932.0;p;925.0;p
WZ08-K;Financial and insurance activities;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;1291.0;e;1295.0;e;1298.0;e;1277.0;e;1266.0;e;1261.0;e;1254.0;e;1231.0;e;1223.0;e;1226.0;e;1216.0;e;1203.0;e;1201.0;e;1196.0;e;1187.0;e;1182.0;e;1161.0;e;1130.0;e;1104.0;e;1093.0;e;1088.0;e;1085.0;e;1074.0;p;1073.0;p;1086.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;1157.0;e;1161.0;e;1162.0;e;1135.0;e;1116.0;e;1103.0;e;1092.0;e;1072.0;e;1066.0;e;1071.0;e;1063.0;e;1052.0;e;1052.0;e;1050.0;e;1043.0;e;1039.0;e;1019.0;e;991.0;e;973.0;e;964.0;e;961.0;e;958.0;e;948.0;p;947.0;p;960.0;p;...;
;;Self-employed persons a. family workers (domestic);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;134.0;e;134.0;e;136.0;e;142.0;e;150.0;e;158.0;e;162.0;e;159.0;e;157.0;e;155.0;e;153.0;e;151.0;e;149.0;e;146.0;e;144.0;e;143.0;e;142.0;e;139.0;e;131.0;e;129.0;e;127.0;e;127.0;e;126.0;p;126.0;p;126.0;p;...;
WZ08-L;Real estate activities;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;462.0;e;456.0;e;457.0;e;457.0;e;460.0;e;464.0;e;471.0;e;474.0;e;477.0;e;464.0;e;463.0;e;461.0;e;464.0;e;465.0;e;468.0;e;468.0;e;467.0;e;472.0;e;475.0;e;479.0;e;478.0;e;485.0;e;502.0;p;512.0;p;520.0;p;...;
;;Employees (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;396.0;e;391.0;e;393.0;e;394.0;e;399.0;e;401.0;e;405.0;e;405.0;e;408.0;e;394.0;e;393.0;e;392.0;e;396.0;e;400.0;e;407.0;e;411.0;e;413.0;e;418.0;e;422.0;e;428.0;e;427.0;e;429.0;e;441.0;p;445.0;p;448.0;p;...;
