Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
Hungary;774;e;991;e;-217;e;25258;e;22083;e;3175;e;26032;e;23074;e;2958;e
Cyprus;157;e;180;e;-23;e;233;e;160;e;73;e;390;e;340;e;50;e
2010;;;;;;;;;;;;;;;;;;
Belgium;1937;e;2283;e;-346;e;2997;e;2240;e;757;e;4934;e;4523;e;411;e
Bulgaria;272;e;243;e;29;e;39115;e;23542;e;15573;e;39387;e;23785;e;15602;e
Denmark;960;e;1265;e;-305;e;2305;e;2057;e;248;e;3265;e;3322;e;-57;e
Estonia;63;e;54;e;9;e;1146;e;725;e;421;e;1209;e;779;e;430;e
Finland;273;e;401;e;-128;e;1912;e;1790;e;122;e;2185;e;2191;e;-6;e
France;6124;e;6559;e;-435;e;14142;e;12132;e;2010;e;20266;e;18691;e;1575;e
Croatia;330;e;485;e;-155;e;9939;e;10848;e;-909;e;10269;e;11333;e;-1064;e
Slovenia;101;e;198;e;-97;e;1785;e;1566;e;219;e;1886;e;1764;e;122;e
Greece;1194;e;1159;e;35;e;12523;e;11482;e;1041;e;13717;e;12641;e;1076;e
Ireland;833;e;861;e;-28;e;1486;e;1150;e;336;e;2319;e;2011;e;308;e
Italy;2668;e;2806;e;-138;e;24520;e;21462;e;3058;e;27188;e;24268;e;2920;e
Latvia;94;e;63;e;31;e;7595;e;4102;e;3493;e;7689;e;4165;e;3524;e
Lithuania;136;e;111;e;25;e;6007;e;3602;e;2405;e;6143;e;3713;e;2430;e
Luxembourg;575;e;789;e;-214;e;2322;e;1437;e;885;e;2897;e;2226;e;671;e
Malta;79;e;106;e;-27;e;141;e;53;e;88;e;220;e;159;e;61;e
Netherlands;3042;e;3462;e;-420;e;9418;e;7140;e;2278;e;12460;e;10602;e;1858;e
Austria;6537;e;10831;e;-4294;e;11322;e;9058;e;2264;e;17859;e;19889;e;-2030;e
Poland;11135;e;9434;e;1701;e;114726;e;93803;e;20923;e;125861;e;103237;e;22624;e
Portugal;839;e;810;e;29;e;6418;e;6456;e;-38;e;7257;e;7266;e;-9;e
Romania;733;e;637;e;96;e;73852;e;48231;e;25621;e;74585;e;48868;e;25717;e
Slovakia;179;e;155;e;24;e;8434;e;7173;e;1261;e;8613;e;7328;e;1285;e
Sweden;1048;e;1668;e;-620;e;2552;e;2385;e;167;e;3600;e;4053;e;-453;e
Spain;7936;e;6705;e;1231;e;13607;e;9366;e;4241;e;21543;e;16071;e;5472;e
Czechia;661;e;880;e;-219;e;6529;e;5187;e;1342;e;7190;e;6067;e;1123;e
Hungary;795;e;905;e;-110;e;29220;e;20425;e;8795;e;30015;e;21330;e;8685;e
Cyprus;148;e;178;e;-30;e;247;e;157;e;90;e;395;e;335;e;60;e
2011;;;;;;;;;;;;;;;;;;
Belgium;1973;e;2138;e;-165;e;3246;e;2267;e;979;e;5219;e;4405;e;814;e
Bulgaria;293;e;262;e;31;e;51319;e;29160;e;22159;e;51612;e;29422;e;22190;e
Denmark;894;e;1201;e;-307;e;2546;e;1874;e;672;e;3440;e;3075;e;365;e
Estonia;74;e;59;e;15;e;1441;e;773;e;668;e;1515;e;832;e;683;e
Finland;263;e;313;e;-50;e;2167;e;1712;e;455;e;2430;e;2025;e;405;e
France;6128;e;6638;e;-510;e;14783;e;10643;e;4140;e;20911;e;17281;e;3630;e
Croatia;290;e;409;e;-119;e;11197;e;11570;e;-373;e;11487;e;11979;e;-492;e
Slovenia;95;e;162;e;-67;e;3210;e;1886;e;1324;e;3305;e;2048;e;1257;e
Greece;1485;e;953;e;532;e;23779;e;10306;e;13473;e;25264;e;11259;e;14005;e
Ireland;830;e;831;e;-1;e;1964;e;1041;e;923;e;2794;e;1872;e;922;e
Italy;2716;e;2789;e;-73;e;30154;e;20375;e;9779;e;32870;e;23164;e;9706;e
Latvia;102;e;75;e;27;e;10075;e;5095;e;4980;e;10177;e;5170;e;5007;e
Lithuania;158;e;84;e;74;e;9817;e;4702;e;5115;e;9975;e;4786;e;5189;e
Luxembourg;627;e;990;e;-363;e;2412;e;1608;e;804;e;3039;e;2598;e;441;e
Malta;79;e;115;e;-36;e;251;e;92;e;159;e;330;e;207;e;123;e
Netherlands;3027;e;3404;e;-377;e;9783;e;6971;e;2812;e;12810;e;10375;e;2435;e
Austria;6879;e;11073;e;-4194;e;11711;e;8703;e;3008;e;18590;e;19776;e;-1186;e
Poland;9262;e;7602;e;1660;e;163414;e;98893;e;64521;e;172676;e;106495;e;66181;e
Portugal;825;e;694;e;131;e;8213;e;5443;e;2770;e;9038;e;6137;e;2901;e
Romania;773;e;652;e;121;e;94706;e;58678;e;36028;e;95479;e;59330;e;36149;e
Slovakia;147;e;184;e;-37;e;11893;e;7598;e;4295;e;12040;e;7782;e;4258;e
Sweden;983;e;1848;e;-865;e;2846;e;2240;e;606;e;3829;e;4088;e;-259;e
Spain;7468;e;6685;e;783;e;20672;e;9322;e;11350;e;28140;e;16007;e;12133;e
Czechia;697;e;864;e;-167;e;9031;e;5025;e;4006;e;9728;e;5889;e;3839;e
Hungary;846;e;894;e;-48;e;41136;e;24106;e;17030;e;41982;e;25000;e;16982;e
Cyprus;193;e;173;e;20;e;369;e;142;e;227;e;562;e;315;e;247;e
2012;;;;;;;;;;;;;;;;;;
Belgium;1969;e;2031;e;-62;e;3599;e;2160;e;1439;e;5568;e;4191;e;1377;e
Bulgaria;358;e;281;e;77;e;58504;e;33460;e;25044;e;58862;e;33741;e;25121;e
Denmark;853;e;1126;e;-273;e;2590;e;1802;e;788;e;3443;e;2928;e;515;e
Estonia;64;e;84;e;-20;e;1305;e;783;e;522;e;1369;e;867;e;502;e
Finland;259;e;367;e;-108;e;2331;e;1808;e;523;e;2590;e;2175;e;415;e
France;5725;e;6245;e;-520;e;15581;e;10458;e;5123;e;21306;e;16703;e;4603;e
Croatia;336;e;368;e;-32;e;12608;e;11513;e;1095;e;12944;e;11881;e;1063;e
Slovenia;90;e;166;e;-76;e;5208;e;2609;e;2599;e;5298;e;2775;e;2523;e
Greece;1702;e;749;e;953;e;34109;e;12139;e;21970;e;35811;e;12888;e;22923;e
Ireland;857;e;749;e;108;e;2097;e;1138;e;959;e;2954;e;1887;e;1067;e
Italy;2927;e;2481;e;446;e;42167;e;20897;e;21270;e;45094;e;23378;e;21716;e
Latvia;99;e;75;e;24;e;9233;e;5522;e;3711;e;9332;e;5597;e;3735;e
Lithuania;119;e;85;e;34;e;9956;e;5153;e;4803;e;10075;e;5238;e;4837;e
Luxembourg;706;e;819;e;-113;e;2440;e;1567;e;873;e;3146;e;2386;e;760;e
Malta;92;e;122;e;-30;e;130;e;95;e;35;e;222;e;217;e;5;e
Netherlands;3094;e;3200;e;-106;e;9988;e;7146;e;2842;e;13082;e;10346;e;2736;e
Austria;6915;e;11022;e;-4107;e;11593;e;8977;e;2616;e;18508;e;19999;e;-1491;e
Poland;7958;e;6180;e;1778;e;176367;e;108245;e;68122;e;184325;e;114425;e;69900;e
Portugal;847;e;614;e;233;e;11762;e;5476;e;6286;e;12609;e;6090;e;6519;e
Romania;810;e;682;e;128;e;116154;e;70470;e;45684;e;116964;e;71152;e;45812;e
Slovakia;152;e;173;e;-21;e;13593;e;8460;e;5133;e;13745;e;8633;e;5112;e
Sweden;977;e;1750;e;-773;e;3113;e;2284;e;829;e;4090;e;4034;e;56;e
Spain;7773;e;5997;e;1776;e;29910;e;11147;e;18763;e;37683;e;17144;e;20539;e
Czechia;666;e;754;e;-88;e;10035;e;5533;e;4502;e;10701;e;6287;e;4414;e
Hungary;935;e;892;e;43;e;53892;e;27727;e;26165;e;54827;e;28619;e;26208;e
Cyprus;180;e;156;e;24;e;560;e;142;e;418;e;740;e;298;e;442;e
2013;;;;;;;;;;;;;;;;;;
Belgium;2041;e;2278;e;-237;e;3784;e;2762;e;1022;e;5825;e;5040;e;785;e
Bulgaria;373;e;333;e;40;e;58950;e;38261;e;20689;e;59323;e;38594;e;20729;e
Denmark;912;e;1057;e;-145;e;2837;e;1996;e;841;e;3749;e;3053;e;696;e
Estonia;63;e;68;e;-5;e;1367;e;795;e;572;e;1430;e;863;e;567;e
Finland;257;e;376;e;-119;e;2366;e;1770;e;596;e;2623;e;2146;e;477;e
France;6051;e;6327;e;-276;e;16593;e;10853;e;5740;e;22644;e;17180;e;5464;e
Croatia;355;e;455;e;-100;e;24845;e;12298;e;12547;e;25200;e;12753;e;12447;e
Slovenia;117;e;149;e;-32;e;6434;e;3388;e;3046;e;6551;e;3537;e;3014;e
Greece;1349;e;753;e;596;e;33379;e;13462;e;19917;e;34728;e;14215;e;20513;e
Ireland;706;e;849;e;-143;e;2070;e;1226;e;844;e;2776;e;2075;e;701;e
Italy;3128;e;2612;e;516;e;57523;e;25291;e;32232;e;60651;e;27903;e;32748;e
Latvia;103;e;90;e;13;e;8314;e;5384;e;2930;e;8417;e;5474;e;2943;e
Lithuania;119;e;108;e;11;e;9053;e;5807;e;3246;e;9172;e;5915;e;3257;e
Luxembourg;626;e;872;e;-246;e;2745;e;1776;e;969;e;3371;e;2648;e;723;e
Malta;118;e;158;e;-40;e;147;e;94;e;53;e;265;e;252;e;13;e
Netherlands;2980;e;3193;e;-213;e;10972;e;7277;e;3695;e;13952;e;10470;e;3482;e
Austria;6869;e;11222;e;-4353;e;11760;e;9119;e;2641;e;18629;e;20341;e;-1712;e
Poland;7900;e;6616;e;1284;e;189109;e;118783;e;70326;e;197009;e;125399;e;71610;e
Portugal;848;e;708;e;140;e;13646;e;6928;e;6718;e;14494;e;7636;e;6858;e
Romania;922;e;811;e;111;e;134494;e;85054;e;49440;e;135416;e;85865;e;49551;e
Slovakia;188;e;190;e;-2;e;14744;e;9750;e;4994;e;14932;e;9940;e;4992;e
Sweden;1139;e;1720;e;-581;e;3095;e;2272;e;823;e;4234;e;3992;e;242;e
Spain;7608;e;5975;e;1633;e;36511;e;14349;e;22162;e;44119;e;20324;e;23795;e
Czechia;669;e;824;e;-155;e;10984;e;6553;e;4431;e;11653;e;7377;e;4276;e
Hungary;925;e;1038;e;-113;e;58068;e;33713;e;24355;e;58993;e;34751;e;24242;e
Cyprus;195;e;153;e;42;e;923;e;241;e;682;e;1118;e;394;e;724;e
2014;;;;;;;;;;;;;;;;;;
Belgium;1977;e;2150;e;-173;e;4122;e;3179;e;943;e;6099;e;5329;e;770;e
Bulgaria;415;e;401;e;14;e;77375;e;44090;e;33285;e;77790;e;44491;e;33299;e
Denmark;855;e;1249;e;-394;e;2662;e;2393;e;269;e;3517;e;3642;e;-125;e
Estonia;64;e;78;e;-14;e;1112;e;858;e;254;e;1176;e;936;e;240;e
Finland;221;e;321;e;-100;e;2384;e;2101;e;283;e;2605;e;2422;e;183;e
France;6000;e;6357;e;-357;e;17307;e;13161;e;4146;e;23307;e;19518;e;3789;e
Croatia;397;e;467;e;-70;e;43843;e;16860;e;26983;e;44240;e;17327;e;26913;e
Slovenia;119;e;157;e;-38;e;6745;e;3846;e;2899;e;6864;e;4003;e;2861;e
Greece;1085;e;858;e;227;e;30602;e;16363;e;14239;e;31687;e;17221;e;14466;e
Ireland;723;e;937;e;-214;e;2196;e;1417;e;779;e;2919;e;2354;e;565;e
Italy;2973;e;2472;e;501;e;70388;e;33832;e;36556;e;73361;e;36304;e;37057;e
Latvia;89;e;94;e;-5;e;7356;e;5732;e;1624;e;7445;e;5826;e;1619;e
Lithuania;120;e;121;e;-1;e;8344;e;6123;e;2221;e;8464;e;6244;e;2220;e
Luxembourg;653;e;848;e;-195;e;2998;e;1974;e;1024;e;3651;e;2822;e;829;e
Malta;113;e;175;e;-62;e;161;e;140;e;21;e;274;e;315;e;-41;e
Netherlands;2873;e;3418;e;-545;e;11427;e;8260;e;3167;e;14300;e;11678;e;2622;e
Austria;7009;e;10789;e;-3780;e;12284;e;10649;e;1635;e;19293;e;21438;e;-2145;e
Poland;6982;e;6254;e;728;e;190926;e;132426;e;58500;e;197908;e;138680;e;59228;e
Portugal;806;e;803;e;3;e;11155;e;7800;e;3355;e;11961;e;8603;e;3358;e
Romania;930;e;838;e;92;e;190931;e;115891;e;75040;e;191861;e;116729;e;75132;e
Slovakia;152;e;167;e;-15;e;15283;e;11119;e;4164;e;15435;e;11286;e;4149;e
Sweden;1015;e;1811;e;-796;e;3320;e;2764;e;556;e;4335;e;4575;e;-240;e
Spain;6715;e;6155;e;560;e;34376;e;17996;e;16380;e;41091;e;24151;e;16940;e
Czechia;731;e;899;e;-168;e;12226;e;7932;e;4294;e;12957;e;8831;e;4126;e
Hungary;841;e;1093;e;-252;e;56439;e;39931;e;16508;e;57280;e;41024;e;16256;e
Cyprus;169;e;150;e;19;e;931;e;347;e;584;e;1100;e;497;e;603;e
2015;;;;;;;;;;;;;;;;;;
Belgium;1871;e;2123;e;-252;e;4044;e;2952;e;1092;e;5915;e;5075;e;840;e
Bulgaria;353;e;331;e;22;e;83226;e;45398;e;37828;e;83579;e;45729;e;37850;e
Denmark;736;e;1254;e;-518;e;2563;e;2528;e;35;e;3299;e;3782;e;-483;e
Estonia;77;e;75;e;2;e;994;e;757;e;237;e;1071;e;832;e;239;e
Finland;281;e;339;e;-58;e;2396;e;1966;e;430;e;2677;e;2305;e;372;e
France;5658;e;5863;e;-205;e;16656;e;13707;e;2949;e;22314;e;19570;e;2744;e
Croatia;406;e;446;e;-40;e;57006;e;20239;e;36767;e;57412;e;20685;e;36727;e
Slovenia;78;e;132;e;-54;e;6925;e;3662;e;3263;e;7003;e;3794;e;3209;e
Greece;966;e;741;e;225;e;31528;e;16234;e;15294;e;32494;e;16975;e;15519;e
Ireland;705;e;1017;e;-312;e;2209;e;1471;e;738;e;2914;e;2488;e;426;e
Italy;2600;e;2297;e;303;e;71505;e;35938;e;35567;e;74105;e;38235;e;35870;e
Latvia;87;e;84;e;3;e;6536;e;4794;e;1742;e;6623;e;4878;e;1745;e
Lithuania;103;e;111;e;-8;e;9617;e;5691;e;3926;e;9720;e;5802;e;3918;e
Luxembourg;635;e;734;e;-99;e;3387;e;1973;e;1414;e;4022;e;2707;e;1315;e
Malta;150;e;194;e;-44;e;173;e;140;e;33;e;323;e;334;e;-11;e
Netherlands;2816;e;3384;e;-568;e;11524;e;8859;e;2665;e;14340;e;12243;e;2097;e
Austria;6832;e;10239;e;-3407;e;13480;e;9668;e;3812;e;20312;e;19907;e;405;e
Poland;5898;e;5536;e;362;e;189768;e;126851;e;62917;e;195666;e;132387;e;63279;e
Portugal;782;e;868;e;-86;e;9872;e;7313;e;2559;e;10654;e;8181;e;2473;e
Romania;855;e;829;e;26;e;212182;e;125934;e;86248;e;213037;e;126763;e;86274;e
Slovakia;116;e;155;e;-39;e;14260;e;10199;e;4061;e;14376;e;10354;e;4022;e
Sweden;1060;e;1771;e;-711;e;3277;e;2915;e;362;e;4337;e;4686;e;-349;e
Spain;6088;e;6216;e;-128;e;29629;e;18246;e;11383;e;35717;e;24462;e;11255;e
Czechia;609;e;898;e;-289;e;12665;e;7795;e;4870;e;13274;e;8693;e;4581;e
Hungary;755;e;935;e;-180;e;55618;e;37241;e;18377;e;56373;e;38176;e;18197;e
Cyprus;177;e;155;e;22;e;827;e;322;e;505;e;1004;e;477;e;527;e
2016;;;;;;;;;;;;;;;;;;
Belgium;1972;e;2048;e;-76;e;3965;e;2878;e;1087;e;5937;e;4926;e;1011;e
Bulgaria;320;e;461;e;-141;e;79607;e;53214;e;26393;e;79927;e;53675;e;26252;e
Denmark;798;e;1329;e;-531;e;2621;e;2152;e;469;e;3419;e;3481;e;-62;e
Estonia;40;e;74;e;-34;e;899;e;654;e;245;e;939;e;728;e;211;e
Finland;254;e;356;e;-102;e;2367;e;1836;e;531;e;2621;e;2192;e;429;e
France;5505;e;5895;e;-390;e;16923;e;12718;e;4205;e;22428;e;18613;e;3815;e
Croatia;321;e;461;e;-140;e;57155;e;25280;e;31875;e;57476;e;25741;e;31735;e
Slovenia;81;e;137;e;-56;e;5463;e;3715;e;1748;e;5544;e;3852;e;1692;e
Greece;912;e;729;e;183;e;30686;e;18301;e;12385;e;31598;e;19030;e;12568;e
Ireland;694;e;1006;e;-312;e;2353;e;1679;e;674;e;3047;e;2685;e;362;e
Italy;2280;e;2457;e;-177;e;63193;e;39011;e;24182;e;65473;e;41468;e;24005;e
Latvia;85;e;89;e;-4;e;6517;e;5014;e;1503;e;6602;e;5103;e;1499;e
Lithuania;98;e;122;e;-24;e;9406;e;6537;e;2869;e;9504;e;6659;e;2845;e
Luxembourg;656;e;733;e;-77;e;3417;e;1997;e;1420;e;4073;e;2730;e;1343;e
Malta;131;e;238;e;-107;e;173;e;147;e;26;e;304;e;385;e;-81;e
Netherlands;2666;e;3499;e;-833;e;11305;e;9045;e;2260;e;13971;e;12544;e;1427;e
Austria;6521;e;10283;e;-3762;e;14283;e;10099;e;4184;e;20804;e;20382;e;422;e
Poland;4305;e;5418;e;-1113;e;159448;e;131818;e;27630;e;163753;e;137236;e;26517;e
Portugal;695;e;1081;e;-386;e;9204;e;7623;e;1581;e;9899;e;8704;e;1195;e
Romania;704;e;827;e;-123;e;212159;e;155641;e;56518;e;212863;e;156468;e;56395;e
Slovakia;112;e;173;e;-61;e;12151;e;10195;e;1956;e;12263;e;10368;e;1895;e
Sweden;975;e;1835;e;-860;e;3088;e;2657;e;431;e;4063;e;4492;e;-429;e
Spain;5197;e;6352;e;-1155;e;26664;e;18292;e;8372;e;31861;e;24644;e;7217;e
Czechia;608;e;952;e;-344;e;11237;e;8422;e;2815;e;11845;e;9374;e;2471;e
Hungary;607;e;1086;e;-479;e;49217;e;40150;e;9067;e;49824;e;41236;e;8588;e
Cyprus;141;e;193;e;-52;e;888;e;377;e;511;e;1029;e;570;e;459;e
2017;;;;;;;;;;;;;;;;;;
Belgium;1870;e;1803;e;67;e;3933;e;2780;e;1153;e;5803;e;4583;e;1220;e
Bulgaria;327;e;450;e;-123;e;78020;e;48871;e;29149;e;78347;e;49321;e;29026;e
Denmark;828;e;1246;e;-418;e;2607;e;2405;e;202;e;3435;e;3651;e;-216;e
Estonia;68;e;94;e;-26;e;813;e;596;e;217;e;881;e;690;e;191;e
Finland;305;e;334;e;-29;e;2339;e;1993;e;346;e;2644;e;2327;e;317;e
France;5257;e;5149;e;108;e;16338;e;13117;e;3221;e;21595;e;18266;e;3329;e
Croatia;259;e;364;e;-105;e;52791;e;23591;e;29200;e;53050;e;23955;e;29095;e
Slovenia;72;e;131;e;-59;e;4562;e;2890;e;1672;e;4634;e;3021;e;1613;e
Greece;800;e;690;e;110;e;29786;e;16725;e;13061;e;30586;e;17415;e;13171;e
Ireland;737;e;886;e;-149;e;2309;e;1402;e;907;e;3046;e;2288;e;758;e
Italy;2328;e;2287;e;41;e;61167;e;36959;e;24208;e;63495;e;39246;e;24249;e
Latvia;82;e;93;e;-11;e;7263;e;4663;e;2600;e;7345;e;4756;e;2589;e
Lithuania;77;e;99;e;-22;e;10010;e;5876;e;4134;e;10087;e;5975;e;4112;e
Luxembourg;608;e;669;e;-61;e;3196;e;1968;e;1228;e;3804;e;2637;e;1167;e
Malta;158;e;234;e;-76;e;237;e;146;e;91;e;395;e;380;e;15;e
Netherlands;2661;e;3319;e;-658;e;10758;e;8740;e;2018;e;13419;e;12059;e;1360;e
Austria;6384;e;9660;e;-3276;e;12998;e;10425;e;2573;e;19382;e;20085;e;-703;e
Poland;3940;e;5069;e;-1129;e;148582;e;114029;e;34553;e;152522;e;119098;e;33424;e
Portugal;752;e;1091;e;-339;e;8372;e;6929;e;1443;e;9124;e;8020;e;1104;e
Romania;670;e;782;e;-112;e;219319;e;151028;e;68291;e;219989;e;151810;e;68179;e
Slovakia;135;e;178;e;-43;e;11868;e;9231;e;2637;e;12003;e;9409;e;2594;e
Sweden;947;e;1641;e;-694;e;3148;e;2672;e;476;e;4095;e;4313;e;-218;e
Spain;5131;e;5959;e;-828;e;22362;e;16513;e;5849;e;27493;e;22472;e;5021;e
Czechia;586;e;825;e;-239;e;11192;e;7631;e;3561;e;11778;e;8456;e;3322;e
Hungary;654;e;1047;e;-393;e;45487;e;35804;e;9683;e;46141;e;36851;e;9290;e
Cyprus;142;e;179;e;-37;e;864;e;368;e;496;e;1006;e;547;e;459;e
2018;;;;;;;;;;;;;;;;;;
Belgium;1754;e;2005;e;-251;e;3828;e;3070;e;758;e;5582;e;5075;e;507;e
Bulgaria;309;e;532;e;-223;e;81484;e;56171;e;25313;e;81793;e;56703;e;25090;e
Denmark;841;e;1418;e;-577;e;2721;e;2425;e;296;e;3562;e;3843;e;-281;e
Estonia;66;e;107;e;-41;e;858;e;669;e;189;e;924;e;776;e;148;e
Finland;229;e;357;e;-128;e;2072;e;1831;e;241;e;2301;e;2188;e;113;e
France;5126;e;5814;e;-688;e;16176;e;12450;e;3726;e;21302;e;18264;e;3038;e
Croatia;253;e;418;e;-165;e;51197;e;25906;e;25291;e;51450;e;26324;e;25126;e
Slovenia;64;e;115;e;-51;e;4148;e;2724;e;1424;e;4212;e;2839;e;1373;e
Greece;766;e;862;e;-96;e;29732;e;18185;e;11547;e;30498;e;19047;e;11451;e
Ireland;713;e;957;e;-244;e;2534;e;1645;e;889;e;3247;e;2602;e;645;e
Italy;2149;e;2431;e;-282;e;62703;e;38887;e;23816;e;64852;e;41318;e;23534;e
Latvia;102;e;116;e;-14;e;7215;e;5231;e;1984;e;7317;e;5347;e;1970;e
Lithuania;102;e;108;e;-6;e;11752;e;7736;e;4016;e;11854;e;7844;e;4010;e
Luxembourg;634;e;715;e;-81;e;3260;e;2048;e;1212;e;3894;e;2763;e;1131;e
Malta;161;e;288;e;-127;e;205;e;140;e;65;e;366;e;428;e;-62;e
Netherlands;2544;e;3746;e;-1202;e;10749;e;9559;e;1190;e;13293;e;13305;e;-12;e
Austria;6468;e;10852;e;-4384;e;12849;e;10850;e;1999;e;19317;e;21702;e;-2385;e
Poland;3428;e;5126;e;-1698;e;142781;e;121915;e;20866;e;146209;e;127041;e;19168;e
Portugal;982;e;1427;e;-445;e;7824;e;7030;e;794;e;8806;e;8457;e;349;e
Romania;744;e;851;e;-107;e;238080;e;175600;e;62480;e;238824;e;176451;e;62373;e
Slovakia;116;e;163;e;-47;e;11439;e;9784;e;1655;e;11555;e;9947;e;1608;e
Sweden;1031;e;1821;e;-790;e;3323;e;2752;e;571;e;4354;e;4573;e;-219;e
Spain;5487;e;6433;e;-946;e;22542;e;16822;e;5720;e;28029;e;23255;e;4774;e
Czechia;598;e;869;e;-271;e;10982;e;7830;e;3152;e;11580;e;8699;e;2881;e
Hungary;656;e;1249;e;-593;e;41269;e;36147;e;5122;e;41925;e;37396;e;4529;e
Cyprus;123;e;325;e;-202;e;644;e;380;e;264;e;767;e;705;e;62;e
2019;;;;;;;;;;;;;;;;;;
Belgium;1793;e;2166;e;-373;e;3952;e;3210;e;742;e;5745;e;5376;e;369;e
Bulgaria;326;e;563;e;-237;e;82892;e;62758;e;20134;e;83218;e;63321;e;19897;e
Denmark;768;e;1563;e;-795;e;2816;e;2815;e;1;e;3584;e;4378;e;-794;e
Estonia;60;e;105;e;-45;e;860;e;699;e;161;e;920;e;804;e;116;e
Finland;241;e;377;e;-136;e;1878;e;1975;e;-97;e;2119;e;2352;e;-233;e
France;5016;e;5682;e;-666;e;16209;e;14932;e;1277;e;21225;e;20614;e;611;e
Croatia;299;e;433;e;-134;e;42257;e;27273;e;14984;e;42556;e;27706;e;14850;e
Slovenia;62;e;114;e;-52;e;3964;e;2793;e;1171;e;4026;e;2907;e;1119;e
Greece;742;e;923;e;-181;e;27213;e;20617;e;6596;e;27955;e;21540;e;6415;e
Ireland;701;e;957;e;-256;e;2645;e;1915;e;730;e;3346;e;2872;e;474;e
Italy;1999;e;2452;e;-453;e;60709;e;42684;e;18025;e;62708;e;45136;e;17572;e
Latvia;108;e;211;e;-103;e;7024;e;5798;e;1226;e;7132;e;6009;e;1123;e
Lithuania;89;e;113;e;-24;e;10976;e;9192;e;1784;e;11065;e;9305;e;1760;e
Luxembourg;546;e;729;e;-183;e;3460;e;2417;e;1043;e;4006;e;3146;e;860;e
Malta;234;e;200;e;34;e;294;e;153;e;141;e;528;e;353;e;175;e
Netherlands;2693;e;3918;e;-1225;e;10652;e;10196;e;456;e;13345;e;14114;e;-769;e
Austria;6631;e;11904;e;-5273;e;12376;e;11506;e;870;e;19007;e;23410;e;-4403;e
Poland;2946;e;5188;e;-2242;e;127743;e;125252;e;2491;e;130689;e;130440;e;249;e
Portugal;1085;e;1546;e;-461;e;7566;e;7651;e;-85;e;8651;e;9197;e;-546;e
Romania;675;e;965;e;-290;e;229421;e;188967;e;40454;e;230096;e;189932;e;40164;e
Slovakia;93;e;154;e;-61;e;11747;e;10404;e;1343;e;11840;e;10558;e;1282;e
Sweden;972;e;1882;e;-910;e;3373;e;3097;e;276;e;4345;e;4979;e;-634;e
Spain;5437;e;6479;e;-1042;e;22790;e;18334;e;4456;e;28227;e;24813;e;3414;e
Czechia;649;e;856;e;-207;e;10700;e;8646;e;2054;e;11349;e;9502;e;1847;e
Hungary;683;e;1377;e;-694;e;34282;e;35982;e;-1700;e;34965;e;37359;e;-2394;e
Cyprus;163;e;378;e;-215;e;617;e;454;e;163;e;780;e;832;e;-52;e
2020;;;;;;;;;;;;;;;;;;
Belgium;1677;e;1854;e;-177;e;3298;e;2768;e;530;e;4975;e;4622;e;353;e
Bulgaria;334;e;587;e;-253;e;72400;e;49390;e;23010;e;72734;e;49977;e;22757;e
Denmark;785;e;1479;e;-694;e;2584;e;2351;e;233;e;3369;e;3830;e;-461;e
Estonia;53;e;92;e;-39;e;821;e;689;e;132;e;874;e;781;e;93;e
Finland;199;e;407;e;-208;e;1268;e;1498;e;-230;e;1467;e;1905;e;-438;e
France;4673;e;4741;e;-68;e;13597;e;11610;e;1987;e;18270;e;16351;e;1919;e
Croatia;245;e;411;e;-166;e;29081;e;20882;e;8199;e;29326;e;21293;e;8033;e
Slovenia;62;e;109;e;-47;e;3401;e;2140;e;1261;e;3463;e;2249;e;1214;e
Greece;607;e;858;e;-251;e;21906;e;15961;e;5945;e;22513;e;16819;e;5694;e
Ireland;664;e;711;e;-47;e;1989;e;1391;e;598;e;2653;e;2102;e;551;e
Italy;1830;e;2030;e;-200;e;43178;e;31592;e;11586;e;45008;e;33622;e;11386;e
Latvia;99;e;140;e;-41;e;5773;e;4403;e;1370;e;5872;e;4543;e;1329;e
Lithuania;76;e;89;e;-13;e;8071;e;7466;e;605;e;8147;e;7555;e;592;e
Luxembourg;631;e;673;e;-42;e;4173;e;2209;e;1964;e;4804;e;2882;e;1922;e
Malta;202;e;176;e;26;e;333;e;131;e;202;e;535;e;307;e;228;e
Netherlands;2706;e;3411;e;-705;e;9641;e;8790;e;851;e;12347;e;12201;e;146;e
Austria;6334;e;10743;e;-4409;e;12386;e;10944;e;1442;e;18720;e;21687;e;-2967;e
Poland;2276;e;3934;e;-1658;e;101220;e;94279;e;6941;e;103496;e;98213;e;5283;e
Portugal;986;e;1461;e;-475;e;6313;e;5715;e;598;e;7299;e;7176;e;123;e
Romania;628;e;826;e;-198;e;185296;e;148274;e;37022;e;185924;e;149100;e;36824;e
Slovakia;108;e;165;e;-57;e;8534;e;7924;e;610;e;8642;e;8089;e;553;e
