Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
Belgium;1960;e;2465;e;-505;e;2479;e;2100;e;379;e;4439;e;4565;e;-126;e
Bulgaria;190;e;120;e;70;e;13040;e;8562;e;4478;e;13230;e;8682;e;4548;e
Denmark;595;e;724;e;-129;e;2294;e;2250;e;44;e;2889;e;2974;e;-85;e
Estonia;105;e;43;e;62;e;886;e;571;e;315;e;991;e;614;e;377;e
Finland;177;e;262;e;-85;e;2026;e;2396;e;-370;e;2203;e;2658;e;-455;e
France;5412;e;6875;e;-1463;e;13207;e;12940;e;267;e;18619;e;19815;e;-1196;e
Croatia;252;e;265;e;-13;e;12738;e;13463;e;-725;e;12990;e;13728;e;-738;e
Slovenia;93;e;129;e;-36;e;2286;e;2373;e;-87;e;2379;e;2502;e;-123;e
Greece;902;e;1102;e;-200;e;15011;e;18896;e;-3885;e;15913;e;19998;e;-4085;e
Ireland;537;e;725;e;-188;e;1693;e;1909;e;-216;e;2230;e;2634;e;-404;e
Italy;2503;e;3264;e;-761;e;24379;e;33271;e;-8892;e;26882;e;36535;e;-9653;e
Latvia;137;e;52;e;85;e;2058;e;1326;e;732;e;2195;e;1378;e;817;e
Lithuania;305;e;60;e;245;e;3830;e;2230;e;1600;e;4135;e;2290;e;1845;e
Luxembourg;583;e;667;e;-84;e;1156;e;660;e;496;e;1739;e;1327;e;412;e
Malta;46;e;48;e;-2;e;65;e;43;e;22;e;111;e;91;e;20;e
Netherlands;3772;e;3660;e;112;e;10204;e;5676;e;4528;e;13976;e;9336;e;4640;e
Austria;3687;e;6279;e;-2592;e;10714;e;9650;e;1064;e;14401;e;15929;e;-1528;e
Poland;19502;e;11084;e;8418;e;81466;e;67655;e;13811;e;100968;e;78739;e;22229;e
Portugal;860;e;806;e;54;e;7946;e;10509;e;-2563;e;8806;e;11315;e;-2509;e
Romania;757;e;403;e;354;e;23803;e;17431;e;6372;e;24560;e;17834;e;6726;e
Slovakia;146;e;95;e;51;e;11454;e;9725;e;1729;e;11600;e;9820;e;1780;e
Sweden;598;e;1144;e;-546;e;2883;e;2732;e;151;e;3481;e;3876;e;-395;e
Spain;6193;e;6767;e;-574;e;9233;e;9914;e;-681;e;15426;e;16681;e;-1255;e
Czechia;799;e;688;e;111;e;10351;e;9003;e;1348;e;11150;e;9691;e;1459;e
Hungary;680;e;769;e;-89;e;16531;e;15642;e;889;e;17211;e;16411;e;800;e
Cyprus;96;e;120;e;-24;e;164;e;122;e;42;e;260;e;242;e;18;e
2003;;;;;;;;;;;;;;;;;;
Belgium;1929;e;2471;e;-542;e;2362;e;2152;e;210;e;4291;e;4623;e;-332;e
Bulgaria;205;e;141;e;64;e;13204;e;9947;e;3257;e;13409;e;10088;e;3321;e
Denmark;502;e;741;e;-239;e;2191;e;1971;e;220;e;2693;e;2712;e;-19;e
Estonia;104;e;60;e;44;e;843;e;537;e;306;e;947;e;597;e;350;e
